siteID,submission_dt,date,bandNumber,type,status,notes,delete_flag
BROWANNMD1,,2015-03-15,2710-53974,P,alive,"yearColumn = 2014, banded July 22; yearColumn = 2015, resighted by participant",0
CAMPROSMD1,,2015-03-15,2710-25973,P,alive,"yearColumn = 2013, banded 7/19/2013; yearColumn = 2015, resighted by participant",0
COLSKATMD1,,2015-03-15,2571-90051,P,alive,"yearColumn = 2014, captured 6/12/14; yearColumn = 2015, resighted by participant",0
COLSKATMD1,,2015-03-15,2710-25926,P,alive,"yearColumn = 2013, Banded 5/13/13; yearColumn = 2015, resighted by participant",0
GECACARVA1,,2015-03-15,2301-56567,P,alive,"yearColumn = 2008, Banded June 18; yearColumn = 2009, resighted by participant 21 June
; yearColumn = 2010, resighted by participant 5/1/2011; yearColumn = 2012, 6/6/2012 resight by participant; yearColumn = 2013, resighted 2013; yearColumn = 2015, Resighted by participant",0
GECACARVA1,,2015-03-15,2690-18954,P,alive,"yearColumn = 2013, banded 5/14/2013; yearColumn = 2014, resighted 4/24/2014; yearColumn = 2015, resighted by participant",0
GOCHJOAMD1,,2015-03-15,2590-82027,P,alive,"yearColumn = 2012, Banded 7/13/2012; yearColumn = 2013, Resighted by participant 4/15/13; yearColumn = 2015, Participant resight",0
GOROCARDC1,,2015-03-15,2641-63906,P,alive,"yearColumn = 2013,  Banded May 15, 2013; yearColumn = 2015, Resighted by participant",0
GOROCARDC1,,2015-03-15,2441-96396,P,alive,"yearColumn = 2014, banded 11 July; yearColumn = 2015, resighted by participant",0
GOROCARDC1,,2015-03-15,2561-56802,P,alive,"yearColumn = 2012, Capture 7/3/2012; yearColumn = 2015, resighted by participant",0
JACOSYDMD1,,2015-03-15,2730-24774,P,alive,"yearColumn = 2014, banded 7/7/2014; yearColumn = 2015, Resighted by participant",0
RAUNERIMD2,,2015-03-15,2531-74574,P,alive,"yearColumn = 2013, banded 7/29/13; yearColumn = 2014, resighted 6/16/2014; yearColumn = 2015, resighted by participant",0
RAUNERIMD2,,2015-03-15,2571-90058,P,alive,"yearColumn = 2014, CAPTURE 6/16/14; yearColumn = 2015, resighted by participant",0
STEWBETMD1,,2015-03-15,2730-24729,P,alive,"yearColumn = 2014, banded 5/17/2014; yearColumn = 2015, resighted by participant",0
SUBRSTEMD1,,2015-03-15,2641-63793,P,alive,"yearColumn = 2014, banded 7/1/2014; yearColumn = 2015, resighted by participant",0
TATEJUAMD1,,2015-03-15,1202-99042,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015",0
VERSBETMD2,,2015-03-15,2531-74552,P,alive,"yearColumn = 2013, BANDED 6/20/13; yearColumn = 2014, resighted by participant; yearColumn = 2015, resighted by participant",0
VERSBETMD2,,2015-03-15,2660-75720,P,alive,"yearColumn = 2013, banded 5/23; yearColumn = 2014, resighted by participant; yearColumn = 2015, resighted by participant",0
VERSBETMD2,,2015-03-15,2531-74554,P,alive,"yearColumn = 2013, BANDED 6/20/13; yearColumn = 2015, resighted by participant",0
VERSBETMD2,,2015-03-15,2641-63774,P,alive,"yearColumn = 2014, BANDED 6/21/14; yearColumn = 2015, resighted by participant",0
VERSBETMD2,,2015-03-15,2690-95963,P,alive,"yearColumn = 2014, BANDED 6/21/2014; yearColumn = 2015, resighted by participant",0
WOODPAUVA1,,2015-03-15,2301-76336,P,alive,"yearColumn = 2009, banded by participant 5/09; yearColumn = 2010,  colorbanded 6/30/10; yearColumn = 2011, resighted by participant 5/13/2011; 7-25-11; yearColumn = 2015, resighted by participant",0
BUISNORVA1,,2015-03-17,2641-63784,P,alive,Should have aluminum band as right leg top band but did not see it/missing.,0
GRIFRACMA1,,2015-03-20,1891-11072,P,alive,"This bird is now missing both the Aluminum and Purple bands, but still has the Red.",0
CLARBRYMA1,,2015-03-28,2690-87917,P,alive,saw both Chickadees at the feeder at the same time. 269087917 and 272099521,0
GALLTERMD1,,2015-03-29,2641-96594,P,alive,"yearColumn = 2014, banded 26 July; yearColumn = 2015, resighted by participant 29 March",0
TATEJUAMD1,,2015-04-01,2590-82189,P,alive,"yearColumn = 2013, Banded 7/8/2013; yearColumn = 2014, Resighted by participant 2/1/14; yearColumn = 2015, Resighted by Participant 4/1/15",0
GRIFRACMA1,,2015-04-02,1212-36664,P,alive,This bird lost its purple band. The orange band is opening and may fall off at some point.,0
TATEJUAMD1,,2015-04-08,2641-63976,P,alive,"yearColumn = 2014, banded 19 June; yearColumn = 2015, Resighted by participant 4/08/15",0
GOCHJOAMD1,,2015-04-10,2641-63882,P,alive,"yearColumn = 2014, banded July 25; yearColumn = 2015, Resighted KO 6/20/15
Participant resight 4/10/15",0
VONGJENMD1,,2015-04-13,2441-14167,P,alive,"yearColumn = 2012, Banded 6/7/2012; yearColumn = 2015, resighted by participant 13 April, 27 May",0
VONGJENMD1,,2015-04-13,2571-90100,P,alive,"yearColumn = 2014, banded 6/14/2014; yearColumn = 2015, resighted by participant 13 April, 24 May",0
MORRCHRVA1,,2015-04-15,2710-25949,P,found dead,"yearColumn = 2013, banded; yearColumn = 2014, resighted 4/18/2014 by tech; yearColumn = 2015, 4/15/2015: found dead by participant",0
TATEJUAMD1,,2015-04-15,1202-99042,P,alive,"yearColumn = 2008, BANDED 14 June; yearColumn = 2009, resighted by participant (unknown date); yearColumn = 2010, resighted by participant (unknown date); yearColumn = 2014, re-sighted by participant Mar, Apr, May and Dec 2014; yearColumn = 2015, resighted by participant Mar and Apr 2015",0
PERRCHRMD1,,2015-04-18,2571-89925,P,alive,"yearColumn = 2014, banded 19 July; yearColumn = 2015, resighted by participant 18 April",0
VONGJENMD1,,2015-04-30,2641-63901,P,alive,"yearColumn = 2013, May 13, 2013; yearColumn = 2015, resighted by participant 30 April; 10 June",0
TATEJUAMD1,,2015-05-01,2641-63968,P,alive,"yearColumn = 2014, banded 19 June; yearColumn = 2015, Resighted by participant 5/1/15",0
TATEJUAMD1,,2015-05-01,2641-63972,P,alive,"yearColumn = 2014, banded 19 June; yearColumn = 2015, Resighted 6/17/2015.
Paritipant reighted 5/1/15",0
TATEJUAMD1,,2015-05-03,2641-63668,P,alive,"yearColumn = 2013, Banded 7/8/2013; yearColumn = 2014, Resighted by participant 11/7/14; yearColumn = 2015, Resighted by participant 5/3/15",0
MERIMARMA1,,2015-05-10,2690-87789,P,alive,"Seen excavating a nest hole with chickadee with band # 269087793. They worked on it for a short period of time, then left. I'll keep an eye on it to see if they come back to it.",0
STEWBETMD1,,2015-05-10,2661-31539,P,alive,"yearColumn = 2014, banded 5/5/2014; yearColumn = 2015, resighted by particpant 10 May",0
PHARAIMMD1,,2015-05-11,2571-89947,P,alive,"yearColumn = 2014, banded 27 July; yearColumn = 2015, resighted by participant 11 May",0
TATEJUAMD1,,2015-05-22,2641-63969,P,alive,"yearColumn = 2014, banded 19 June; yearColumn = 2015, Resighted by participant 5/22/15",0
TATEJUAMD1,,2015-05-22,2641-63973,P,alive,"yearColumn = 2014, banded 19 June; yearColumn = 2015, Resighte by participant 5/22/15",0
TRAUPATVA2,,2015-05-24,2531-90243,P,alive,"yearColumn = 2013, banded 7/26/2013; yearColumn = 2015, resighted by participant 24 May",0
VONGJENMD1,,2015-05-24,2411-37406,P,alive,"yearColumn = 2009, banded 6/23; yearColumn = 2012, Resighted 6/7/2012; resighted by participant 06/30/2012; yearColumn = 2014, resighted by participant 24 May; yearColumn = 2015, resighted by participant 24 May",0
VONGJENMD1,,2015-05-24,2571-90100,P,alive,"yearColumn = 2014, banded 6/14/2014; yearColumn = 2015, resighted by participant 13 April, 24 May",0
VONGJENMD1,,2015-05-27,2441-14167,P,alive,"yearColumn = 2012, Banded 6/7/2012; yearColumn = 2015, resighted by participant 13 April, 27 May",0
VONGJENMD1,,2015-05-28,2710-25929,P,alive,"yearColumn = 2013, Banded 5/17/13; yearColumn = 2015, resighted by participant 28 May",0
TATEJUAMD1,,2015-06-01,2641-63670,P,alive,"yearColumn = 2013, Banded 7/8/2013; yearColumn = 2014, resighted 19 June
Resighted by participant 12/14/14; yearColumn = 2015, Resighted by Participant 6/01/15",0
BENNBILMA1,,2015-06-06,2651-43241,P,alive,Banded on 5/28/15 as a SY unknown sex; this is the only re-sighting.,0
PHARAIMMD1,,2015-06-08,2710-54347,P,alive,"yearColumn = 2014, banded 27 July; yearColumn = 2015, rsighted by participant 8 June, 4 Oct.",0
VONGJENMD1,,2015-06-10,2641-63901,P,alive,"yearColumn = 2013, May 13, 2013; yearColumn = 2015, resighted by participant 30 April; 10 June",0
VONGJENMD1,,2015-06-10,2730-24704,P,alive,"yearColumn = 2014, 05/03/2014; yearColumn = 2015, resighted by participant 10 June",0
GRIFRACMA1,,2015-06-12,1352-63516,P,alive,Nested again with male NOMO (121236664) and fledged two chicks this year.,0
GRIFRACMA1,,2015-06-13,1212-36664,P,alive,This bird and the female NOMO banded last year (135263516) have nested together again and fledged two chicks this year.,0
MOSELYNNC1,,2015-06-13,851-39867,P,alive,Purple band on left leg is missing.  But it's clearly the same bird because no other cardinal was banded with an orange band on right leg.,0
CASEANNFL1,,2015-09-06,2331-09144,P,alive,,0
BENNBILMA1,,2015-06-14,2720-99637,P,alive,"Nested unsuccessfully this year with BCCH # 273027922, female, left Bu, right Al/Y. See notes for that bird; also seen at the nest box on 6/26/15, and 6/28/15, but nest empty on 7/2/15.",0
BENNBILMA1,,2015-06-14,2720-99638,P,alive,"Nested twice in 2015 with female # 272099643, Bk/R, AL, unsuccessfully the first time and successfully the second time. Then, the same pair nested twice in 2016, both times unsuccessfully, apparently after having their nests raided/predated by conspecifics.",0
BENNBILMA1,,2015-06-14,2730-27522,P,alive,"Nesting in a box under garage eaves with BCCH band # 272099637, left Al/G, right Pk. Birds seen going in and out of nest on 6/14/15, 6/26/15, 6/28/15, but on 7/2/15, nest was empty (failed).",0
BENNBILMA1,,2015-06-19,2720-99643,P,alive,"Nested twice in 2015 with male # 272099638, G/Pk, AL, unsuccessfully the first time and successfully the second time. Then, the same pair nested twice in 2016, both times unsuccessfully, apparently after having their nests raided/predated by conspecifics.",0
PHARAIMMD1,,2015-06-26,2421-34637,P,alive,"yearColumn = 2012, Banded 6/9/2012; yearColumn = 2015, resighted by participant 26 June",0
BOONGREMD1,,2015-07-02,2441-96398,P,alive,"yearColumn = 2014, banded 12 July; yearColumn = 2015, resighted by participant 2 July",0
BILLPAIDC1,,2015-07-06,2421-11389,P,alive,The two gray catbirds that were banded in my yard on June 29 are nesting in my neighbors' yard two doors down.,0
ASTOLAUGA1,,2015-07-31,2711-54832,P,alive,noData; Usually see them on the ground but this is the first time I've spotted a banded song sparrow on my high deck going to the feeder,0
LAFOMELVA1,,2015-08-04,2730-26426,P,alive,"Also, non-banded Catbird.  The Carolina Chickadee is a frequent feeder to safflower seed feeder.  A female Hummingbird comes every afternoon to feed on Cardinal Flower and Bee Balm.  Two nesting pairs of Goldfinch are feeding at the Thistle seed sock.  There is a lot of Black-eyed Susan. 
",0
RIGAMARPA1,,2015-08-04,2710-54187,P,alive,This was the first sighting.of nearly daily through the summer and fall.,0
SOLOJACPA1,,2015-08-10,2711-77247,P,alive,"JLM: participant entered y,pk/r but the color combo that matches with the band number that the participant gave is a,p/r. Participant: Where an X is on the data sheet, I take that as no band._x000D_ Only 1 Song Sparrow was banded. Its band # was 2711-77247.",0
MCCODINNC1,,2015-08-12,2180-92553,P,alive,This bird lost it's tail feathers when banded; but now evidence of tail feathers starting to grow,0
LAFOMELVA1,,2015-08-13,2561-56833,P,alive,"yearColumn = 2012, Capture 7/28/2012; yearColumn = 2015, resighted by participant 13 August",0
GRIFRACMA1,,2015-08-21,1891-11072,P,alive,"This bird is now missing both the Aluminum and Purple bands, but still has the Red.",0
PHARAIMMD1,,2015-10-04,2710-54347,P,alive,"yearColumn = 2014, banded 27 July; yearColumn = 2015, rsighted by participant 8 June, 4 Oct.",0
ROBIRONFL1,,2015-10-26,2641-96750,P,alive,"2641-96750

Using only on leg =deformity

Bill is crossed, what appears to be exposed feather quills around the face.

Eating B/o sunflower seed with other Cardinals",0
CARTJOYGA1,,2015-11-13,2341-30179,P,alive,Last time this SOSP has been seen.  He was still dragging his right leg behind him.,0
KNIGSALVA1,,2015-11-15,2441-96389,P,alive,"yearColumn = 2014, banded 7 July; yearColumn = 2015, Recaptured 6/18/2015; resighted by participant 10/27; 11/15",0
BALASUCMD1,,2015-11-29,2590-82015,P,alive,"yearColumn = 2012, Banded 7/3/2012; yearColumn = 2015, resighted by participant 29 November",0
BENNBILMA1,,2015-12-04,2730-27526,P,alive,"Last sighting for this bird, banded on 6/19/14 as an AHY (probably SY) female in heavy molt.",0
AZARCARPA1,,2015-12-05,2750-64007,P,alive,"This resighting  occurred in Frick Park, a wooded park near my house.  I spotted this chickadee when I was on a walk, about 3/4 mile from my house/the site of this bird's original banding.  It was on the edge of a clearing in the woods, in the middle of the Nine Mile Run watershed.",0
PIACRICPA1,,2015-12-09,2430-14778,P,alive,appeared healthy and was enjoying sunflower kernels on our next door neighbor's feeder,0
TEAMKARPA1,,2015-12-25,2750-64089,P,alive,There was no band on the right leg.  I put A because it required response for right bottom band and no band was not an option.; NA,0
ROBIRONFL1,,2015-12-30,2661-31392,P,alive,"2661-31392

2015 SAW A MARKED DECLINE IN THE NUMBER OF TITMICE IN MY HABITAT",0
GLORPETNC1,,2016-01-02,2711-64118,P,alive,The Carolina Wren flew into our home that evening. Good to see he's still hanging around!,0
DOPPJANMA1,,2016-01-09,2690-87755,P,alive,Bird was in a group of three chickadees that included bird with band number 275035145 (Al on left and orange over green on right leg),0
DOPPJANMA1,,2016-01-09,2750-35145,P,alive,Bird was in a group of three chickadees that included bird with band number 2690-87755 (whit left and Al over white on right leg),0
LAFOMELVA1,,2016-01-20,2730-26426,P,alive,"30degr. F, partly sunny, 2:01 p.m., 4 Mourning Doves, 1 Blue Jay, 1 Crow, 1 Female Cardinal, 2 Male Cardinals, 4 English Sparrows, 1 Chickadee (unbanded), 1 Tufted Titmouse, 1 Red-Headed Finch (male), 1 Carolina Wren,  2 Juncos, 1 Mockingbird, 1 Downy Woodpecker.
Mammals:  2 squirrels
",0
NICHGLONC1,,2016-01-22,851-39823,P,alive,She repeatedly pecked at her aluminum band.  The temperature was 28.,0
DOPPJANMA1,,2016-01-23,2571-83147,P,alive,"The P for both legs should be PK, but PK is not showing up in the drop down lists.",0
GLORPETNC1,,2016-02-06,2711-64118,P,alive,The bird flew into the porch and probably spend the night inside the porch. When opening the porch door it flew out and went straight to the bird feeder.,0
WINTCHAFL1,,2016-02-13,2710-54207,P,alive,"Entered by Bob Reitsma after receiving resight report from citizen 1.8 mi. from banding sight. 2041 NE 15th Terrace, Gainesville. Email message 2/13/2016.",0
TATEJUAMD1,,2016-02-14,2641-63665,P,alive,Seen by neighbor in neighbor's yard; not certain of exact date in February 2016,0
GRIFRACMA1,,2016-02-29,1891-11072,P,alive,"This is the same cardinal we've been resighting that apparently removed his left leg bands, and now has only the red on his right.",0
DESIELAGA1,,2016-03-01,2710-53997,P,alive,"This bird has an injured or missing left leg. Perhaps she holds it up but I can hardly see it. She does return more than any of the other birds though, visiting the feeder frequently.",0
DOPPJANMA1,,2016-03-06,2571-83147,P,alive,"Banded wren was eating suet along with a second wren, presumably her mate.",0
ZEPKJANMA1,,2016-03-10,2561-86637,P,alive,Observed several times coming to feeding station. Seen several times between 3/10/16 and today (3/12/16).,0
CLARBRYMA1,,2016-03-12,2690-87917,P,alive,Saw this bird from about four feet away. I was putting feed in the feeder and he came right up to eat. Must have been hungry.,0
BARBJERMD1,,2016-03-17,2641-63964,P,alive,3/17/2016 6:10 p.m. Was at the water bowl on deck.  Was being a bully... chased another male cardinal away.,0
GRIFRACMA1,,2016-03-17,1212-36664,P,alive,This is the male Mockingbird who's been a regular visitor for several years. He lost the purple band several years ago.,0
MCCAANNGA1,,2016-03-21,2661-07992,P,alive,We have seen this bird almost every day we have looked since it was banded in 2014.  It has a deformed bill (looks like a Crossbill) but seems to do very well.  Head feathers sometimes make a crest like it can't quite groom them well but otherwise seems fine.,0
TABACARPA1,,2016-03-29,1781-50427,P,alive,"Wherever I answered A it was written as X on my visit record. I took X to be silver/ aluminum

also 
I wrote BK but my Banding visit record says BL",0
MARIJAYGA1,,2016-04-02,1272-42459,P,alive,"Nearly two years have passed since the last time we spotted this particular Northern Mockingbird.  He was observed eating near the bird feeder area of site ""MARIJAYGA1.""",0
BEARKARNC1,,2016-04-03,2711-64025,P,alive,Our two wrens that I continue to submit data on are an obviousl pair. They often come to the peanut feeder at the same time.,0
TATEJUAMD1,,2016-04-03,2441-96371,P,alive,Observed singing several times during 2015 and 2016; must be a male.,0
HAZZANNMA1,,2016-04-04,2720-99513,P,alive,Seen throughout winter at feeder during Project Feeder Watch observations,0
VERSBETMD2,,2016-04-19,2570-44717,P,alive,I believe this one was part of the pair that used Desiree's nest box in 2016,0
BARBJERMD1,,2016-04-21,2750-41384,P,alive,"Nesting in a nest box.  It's mate band colors: A/PK,Y_x000D_ There are at least three nestlings in the nest box that I observed today.",0
BARBJERMD1,,2016-04-21,2750-41387,P,alive,"It's mate is also banded.  Band colors A/W,G.  They have an active nest in a nest box with at least 3 nestlings that I could see today.  Looks like they recently hatched within day or two.",0
TABACARPA1,,2016-04-22,2661-31449,P,alive,Wherever I answered A it was written as X on my visit record. I took X to be silver/ aluminum,0
OWENEDDNC1,,2016-04-23,851-39844,P,alive,Seen together with another Gray Catbird (it's mate?). It had a mate last year but that bird was not banded._x000D_ _x000D_ I have not seen another of the other birds banded in my yard in 2015.,0
HARABARNC1,,2016-04-24,2180-92484,P,alive,Spotted at a nest box putting sticks in it.  Nest box is practically full of sticks.  No nest yet.  No female spotted,0
RINADAVMA1,,2016-04-26,2750-35095,P,alive,We couldn't get close enough to positively identify band colors but my daughter was able to get two pictures. I'll forward them in the hope that you'll be able to identify.,0
ARCADIAMA1,,2016-05-01,2291-44239,P,alive,"Spotted near the solar panels at Arcadia, in an apple tree with another SOSP.",0
MARIJAYGA1,,2016-05-01,1272-42459,P,alive,"This particular tagged Northern Mockingbird has been observed interacting with another individual of the same species.  Because of the fact that this tagged Mockingbird is a male, we are wondering if the other one is his mate.  At the moment, a nest site has yet to be confirmed.",0
WISSSTEGA1,,2016-05-03,2661-31836,P,alive,This bird was banded in 2014 and has been a regular at my feeder ever since,0
VONGJENMD1,,2016-05-05,2411-37406,P,alive,I can't actually see the white band on the right leg but the data entry form requires me to enter something. I saw this bird frequently last year but also couldn't see the white band so I don't think I did enter it. But my records show a sighting on 6/12/15 if you want to include it.,0
BEARKARNC1,,2016-05-07,-,P,alive,Delighted to say our wren pair nested in our backdoor neighbor's window box! Saw two kids on the nest on 5/9. They fledged the following week and we've been seeing them and the two kids in our yard (and garage!) in May and June.,0
BEARKARNC1,,2016-05-07,2711-64026,P,alive,Delighted to say our wren pair nested in our backdoor neighbor's window box! Saw two kids on the nest on 5/9. They fledged the following week and we've been seeing them and the two kids in our yard (and garage!) in May and June.,0
MADJDAVPA1,,2016-05-09,2430-14740,P,alive,He is living in a front tree and seems to be taking items into the tree all day.,0
BENNBILMA1,,2016-05-12,2720-99637,P,alive,"noDataNested in the same box as last year with the same mate, BCCH # 273027922, left Bu, right Al/Y; see notes under that bird's sightings. Last sighting of this bird, #272099637, was on 6/7/16, when the young fledged. It has not been seen again since.",0
BENNBILMA1,,2016-05-12,2730-27522,P,alive,"Going in and out of same nest box with same other BCCH as last year (mate is BCCH #272099637, left Al/G, right Pk). Box does not open, but estimated clutch complete 5/12/16, est. hatch date 5/24/16, and fledging date 6/7/16. At least 2 young fledged (could have been more); nest successful this year (failed last year.)",0
KOPCTOMPA1,,2016-05-15,1352-46362,P,alive,"I selected A for left leg bottom band, but there was no band on the left leg at all. I wasn't able to select that option.",0
BEARKARNC1,,2016-05-17,1352-92407,P,alive,"She was seen feeding young in a nest on 5/9 when John and Keith first banded her. Not sure how many kids there were or when they fledged, but it was sometime the following week.",0
BEARKARNC1,,2016-05-17,1392-92407,P,alive,"She was seen feeding young in a nest on 5/9 when John and Keith first banded her. Not sure how many kids there were or when they fledged, but it was sometime the following week.",0
RIGAMARPA1,,2016-05-18,2711-77247,P,alive,Saw it again in Feb. 2016 and this recorded date was the most recent,0
BLUEHPKGA1,,2016-05-27,2651-52406,P,alive,"Has been seen multiple times now, including a few times at feeders. On this occasion, bird was collecting food for nestlings though nest was not located.",0
HARVSUENC1,,2016-05-30,0851-39818,P,alive,only one color band applied due to thickness of leg..._x000D_ so this male cardinal has one blue and one aluminum band,0
BENNBILMA1,,2016-06-01,2750-34952,P,alive,Banded on 6/2/16 as AHY female; already nesting at that point with a male who remained unbanded; nested successfully and fledged 5 young on 6/30/16 (see nest report).,0
ROBIRONFL1,,2016-06-04,2661-31398,P,found dead,Had bad left leg (possible banding injury) found dead by next door neighbor. 6/04/16. Last seen by me 5/02/16.,0
MURRSANGA1,,2016-06-06,2750-41431,P,alive,Could only see blue right leg. could not see left leg. JLM: this was the only bird that had a blue band on the right leg.,0
DICKSUSPA1,,2016-06-07,1352-45814,P,alive,Carrying nesting material but I could not see where she went with it.,0
GRIFRACMA1,,2016-06-09,2641-85632,P,alive,"Missing purple band, and black band seems to be stuck high up on the left leg.",0
DICKSUSPA1,,2016-06-10,1342-45506,P,alive,This male seen feeding nestlings in a nest in the front yard.  The other adult (assume female) of this nest in not banded.,0
MURRSANGA1,,2016-06-16,2750-41609,P,alive,"The bird I saw had Y/G on right only, but I couldn't enter it that way. Could not see left leg. JLM: this was the only bird that matched close enough",0
LAFOMELVA1,,2016-06-21,2730-26432,P,alive,"I have a little window feeder that I see from my desk.  A CACH came to the feeder.  I have not seen this color band before. The feeder had safflower mixed with millet and peanuts, an assortment.  Temp.  80 degrees F, sunny, no rain as predicted.",0
PERNMIKMD1,,2016-06-22,2421-11355,P,alive,Seen at our backyard feeder at 7:52 pm. Was with an unbanded male NOCA,0
PERNMIKMD1,,2016-06-23,2421-11745,P,alive,Seen at feeder in backyard at 6:30pm. In the company of 3-5 other cardinals of both sexes,0
MARIJAYGA1,,2016-06-27,1272-42459,P,alive,"This Northern Mockingbird has been observed with a mate and two fledglings during the past few months, although we were unable to find the nest location._x000D_ _x000D_ The mate and fledglings were not spotted with the male Northern Mockingbird in this latest re-sighting",0
BEEGERLNC1,,2016-07-01,2701-55835,P,alive,"2701-55835 female arrived at deck railing at 20:45 to feed on safflower. Male (x-55832) arrived at same time as female (x-55835); most likely, a mated pair",0
BEEGERLNC1,,2016-07-01,2701-55832,P,alive,"2701-55832 arrived at deck railing at 20:45 to feed on safflower. Male arrived at same time as female (x-55385); most likely, a mated pair",0
BEEGERLNC1,,2016-07-01,2701-55834,P,alive,"Landed on suet at 9:45 am EDT, took suet piece and flew (feeding young?)",0
LAFOMELVA1,,2016-07-01,2651-56293,P,alive,Seen at dusk.  7 p.m.  cone feeder.  with 3 other GRCA.  problems with squirrels coming in and feeding upside down on the feeder.  Put hot pepper sauce and it kept them off.  Put corn on the cob to the back of the backyard for them. Starlings and Grackls are aggressive. _x000D_,0
LAFOMELVA1,,2016-07-01,2651-56294,P,alive,"Also, 2 unbanded GRCA and unbanded NOCA.  Safflower seed feeder.  Hot, sunny late in the afternoon.",0
BOZESARPA1,,2016-07-02,1342-45516,P,alive,"Band # 1342-45516

Visits posts on flower/herb garden twice a day. Activity in pine trees, possible nesting.",0
CARTJOYGA1,,2016-07-03,1272-42428,P,alive,"This male thrasher was banded at my house in 2014, but has nested the last two years about three blocks away at a neighbor's house.",0
LAFOMELVA1,,2016-07-03,2641-96957,P,alive,"Hatch year.  Weather is hot and sunny.  Some rain predicted.  The garden is a jungle.  Immature Nuthatch, Sparrows, many other unbanded Cardinals.",0
LAFOMELVA1,,2016-07-03,2651-56296,P,alive,"Also sited unbanded Chickadees, immature Downy - female.  Male NOCA fed female NOCA seed from feeder.",0
BEEGERLNC1,,2016-07-07,2701-55830,P,alive,"Brief visit at 7:45 am July 7 to feeding area on deck railing (safflower, suet). This red/green catbird (2701-55830) also appeared to a guest, briefly, on 7/6. Does not appear daily or often like the orange/yellow and blue/blue(banded) catbirds, (2701-55831 and X-55834).  Still no sighting of white-band catbird, X-55833",0
GALLLENNC1,,2016-07-10,0851-39843,N,alive,"Data relayed from BBL to Raleigh (J. Gerwin), then to DC where it was entered by R Retisma",0
RINADAVMA1,,2016-07-10,2571-83052,P,alive,Bird was banded at the site in 2013. Sighted in small wooded area with stream at corner of Appolonia and Elmar. Several catbirds also sighted. Perhaps area should remain undeveloped; also breeding area for fireflies.,0
CARTJOYGA1,,2016-07-11,1292-64369,P,found dead,"I found this female mockingbird dead under a blueberry bush.  No sign of injury that I could tell, but the body had been on the ground for a while and ants were working.  I have a picture if you'd like me to send it.",0
CARTJOYGA1,,2016-07-13,2711-58012,P,alive,"This is an additional sighting in July, but it was the first time I noticed that he has no tail feathers.  Strange sight in a SOSP.",0
WALTANNNC1,,2016-07-16,851-39870,P,alive,This male cardinal was observed feeding suet to a juvenile Brown-headed Cowbird.,0
NAYLMICMD2,,2016-07-19,1292-64569,P,alive,It was caught in my blueberry net.  I captured it and recorded band #129264569 on an aluminum tag on left leg. Have a photo if you are interested._x000D_ _x000D_ THIS BIRD HAD NO RIGHT BOTTOM BAND.  The website doesn't let me submit data unless I pick a color.,0
BEEGERLNC1,,2016-07-23,2701-55833,P,alive,Finally! I've been looking for that bird all of July. Landed on suet at 6:50 EDT.,0
BEEGERLNC1,,2016-08-01,2701-55832,P,alive,"Feeding on safflower 17:20 , saw male 2701-55832 with female (2701-55835) several times, Mated pair?",0
BEEGERLNC1,,2016-08-05,1352-92507,P,alive,First Tim I've detected this bird 1352-92507 since it was banded in June 2016.,0
NEWTROBNC1,,2016-08-05,0851-39912,P,alive,The P band has fallen off. No other NOCA has the remaining colors in this order,0
AKREMICMA2,,2016-08-10,2691-86648,P,alive,The bird was seen by a neighbor across the street - Chris Volonte <chris.volonte@gmail.com> (at 280 North St),0
HARVSUENC1,,2016-08-13,0851-39819,P,alive,"JLM: this was entered by the participant as Y/A,O but there is noca with this band combo.",0
BEEGERLNC1,,2016-08-14,2701-55831,P,alive,"Threatening a younger GRCA over a pile of safflower seed on the wooden deck railing, 9:15 EDT",0
LAFOMELVA1,,2016-08-17,2730-26426,P,alive,Other unbanded Chickadees feeding.  Northern Cardinals feeding.  Sunny this afternoon.  Rain now.  Wind. No feeding in rain.,0
LAFOMELVA1,,2016-08-18,2661-31589,P,alive,"Carolina Wren calling.  Do not see Robins.  Hummingbirds regularly feeding at feeding.  House Sparrows bathe frequently in groups in upper level of fountain.  Then fly to the gutter of the porch roof to sit, rub beaks on the edge of the gutter, fan out wing feathers, and then fly away.",0
MCCODINNC1,,2016-08-18,2180-92515,P,alive,top band on left leg was GR which means gray on my reporting sheet and you do not offer that as a choice. it is a gray band and not aluminum. this was a hatch year bird; #2180-92515,0
MEALRYAPA1,,2016-08-21,2730-26321,P,alive,"Mulvihill banded on 7/10/14, recapture by Martin B on 6/26/15.  At feeder in rain under Silver Maple with other '14 banded CACH.",0
MEALRYAPA1,,2016-08-21,2730-26322,P,alive,"Mulvihill banded 7/10/14, recapture by Martin B on 6/25/15.  At yard feeder in rain under Silver Maple on 8/21/16.",0
KOPCTOMPA1,,2016-08-23,1781-50430,P,alive,"Left leg actually has no band, but it would not allow me to enter it that way.",0
PORTTESMD1,,2016-08-29,2421-11935,N,found dead,"Data relayed from BBL to R Reitsma. Recovery by K. Rosenthal. Found dead at 2116 NORTH OHIO STREET, ARLINGTON, VA Report to Bander 9/19/16",0
